City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,81.55,79,97,14.83,moderate rain
1,Bambous Virieux,MU,-20.3428,57.7575,82.65,65,40,13.8,scattered clouds
2,Lompoc,US,34.6391,-120.4579,58.12,94,1,13.8,mist
3,Kapaa,US,22.0752,-159.319,75.52,75,20,1.01,heavy intensity rain
4,Ereymentau,KZ,51.6199,73.1033,30.51,95,100,9.66,light snow
5,Bluff,NZ,-46.6,168.3333,56.8,56,8,23.47,clear sky
6,Adrar,MR,20.5022,-10.0711,58.57,18,100,10.31,overcast clouds
7,New Norfolk,AU,-42.7826,147.0587,72.9,47,92,5.99,overcast clouds
8,Bhainsdehi,IN,21.6467,77.6325,75.88,37,0,3.62,clear sky
9,Saint-Francois,FR,46.4154,3.9054,37.67,93,90,2.3,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,76.73,75,97,7.96,overcast clouds
11,Khatanga,RU,71.9667,102.5,-13.29,97,100,7.47,overcast clouds
12,Itarema,BR,-2.9248,-39.9167,80.8,80,53,15.52,broken clouds
13,Linhares,BR,-19.3911,-40.0722,69.94,96,81,2.95,broken clouds
14,Port Elizabeth,ZA,-33.918,25.5701,67.1,88,0,5.75,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,43.0,75,98,3.76,overcast clouds
16,Georgetown,MY,5.4112,100.3354,84.13,71,20,10.36,few clouds
17,Ushuaia,AR,-54.8,-68.3,42.46,65,20,12.66,few clouds
18,Cefalu,IT,38.0386,14.0229,52.75,64,100,18.99,overcast clouds
19,Atuona,PF,-9.8,-139.0333,78.69,77,4,18.25,clear sky
20,Solnechnyy,RU,50.7214,136.6319,23.31,85,87,2.59,snow
21,Iqaluit,CA,63.7506,-68.5145,11.93,66,90,17.0,light snow
22,Kahului,US,20.8947,-156.47,74.84,94,75,25.32,heavy intensity rain
23,Albany,US,42.6001,-73.9662,42.67,58,100,5.99,overcast clouds
24,Port Blair,IN,11.6667,92.75,81.82,59,75,13.67,broken clouds
25,Maloy,NO,61.9353,5.1136,36.07,73,100,8.01,overcast clouds
26,Bredasdorp,ZA,-34.5322,20.0403,58.28,91,100,7.52,light rain
27,Avarua,CK,-21.2078,-159.775,77.05,88,20,8.05,light rain
28,Dikson,RU,73.5069,80.5464,-14.94,99,95,8.7,overcast clouds
29,Grindavik,IS,63.8424,-22.4338,39.15,87,20,14.97,few clouds
30,Busselton,AU,-33.65,115.3333,76.78,39,26,8.63,scattered clouds
31,Upernavik,GL,72.7868,-56.1549,27.25,88,100,9.37,overcast clouds
32,Yerbogachen,RU,61.2767,108.0108,-13.16,97,57,4.61,broken clouds
33,Nanortalik,GL,60.1432,-45.2371,26.08,61,100,37.11,light snow
34,Dhanwar,IN,24.4167,85.9833,76.08,50,23,5.14,few clouds
35,Moree,AU,-29.4667,149.85,80.62,41,40,10.36,scattered clouds
36,Derzhavinsk,KZ,51.1,66.3167,18.01,86,100,8.21,overcast clouds
37,Ola,RU,59.5833,151.2833,-8.3,91,53,7.02,broken clouds
38,Coatesville,US,39.9832,-75.8238,47.05,85,90,1.01,overcast clouds
39,Cape Town,ZA,-33.9258,18.4232,61.09,90,75,3.0,broken clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,67.23,91,46,7.07,scattered clouds
41,Port Alfred,ZA,-33.5906,26.891,67.59,86,85,19.37,light rain
42,Bengkulu,ID,-3.8004,102.2655,84.43,69,99,10.76,overcast clouds
43,Jega,NG,12.2175,4.3792,68.59,22,67,8.52,broken clouds
44,Mataura,NZ,-46.1927,168.8643,56.48,47,64,8.66,broken clouds
45,Homer,US,59.6425,-151.5483,34.03,87,90,3.44,light rain
46,Naze,JP,28.3667,129.4833,68.92,61,90,11.59,overcast clouds
47,Arraial Do Cabo,BR,-22.9661,-42.0278,73.53,92,61,17.6,heavy intensity rain
48,Jamestown,US,42.097,-79.2353,45.99,84,100,11.01,light rain
49,Grenville,GD,12.1167,-61.6167,80.65,73,78,21.12,broken clouds
50,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,84,27,2.17,scattered clouds
51,Touros,BR,-5.1989,-35.4608,76.1,79,30,13.71,scattered clouds
52,Vao,NC,-22.6667,167.4833,76.84,82,100,12.77,overcast clouds
53,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,71,1,13.8,clear sky
54,Torbay,CA,47.6666,-52.7314,30.67,79,40,14.97,scattered clouds
55,Kinsale,IE,51.7075,-8.5306,45.77,93,40,11.5,scattered clouds
56,Bay Roberts,CA,47.5999,-53.2648,31.42,76,87,3.0,overcast clouds
57,Saskylakh,RU,71.9167,114.0833,-29.9,99,94,5.12,overcast clouds
58,Burghausen,DE,48.1667,12.8333,34.02,45,94,3.09,light snow
59,Hamina,FI,60.5697,27.1979,9.68,92,99,11.72,light snow
60,Norman Wells,CA,65.282,-126.8329,-29.16,68,40,2.3,scattered clouds
61,Souillac,MU,-20.5167,57.5167,82.78,65,40,13.8,scattered clouds
62,East London,ZA,-33.0153,27.9116,68.94,88,20,10.36,light rain
63,Lebu,CL,-37.6167,-73.65,55.78,84,1,3.98,clear sky
64,Kodiak,US,57.79,-152.4072,35.11,80,90,13.8,light snow
65,Lao Cai,VN,22.4833,103.95,74.16,50,7,3.4,clear sky
66,Ossora,RU,59.2353,163.0719,13.37,81,72,4.65,broken clouds
67,Conceicao Do Araguaia,BR,-8.2578,-49.2647,72.73,92,84,2.28,broken clouds
68,Gornoye Loo,RU,43.7129,39.6049,52.79,70,100,4.88,overcast clouds
69,Castro,BR,-24.7911,-50.0119,59.07,97,80,3.15,broken clouds
70,Qaanaaq,GL,77.484,-69.3632,20.32,79,100,6.71,overcast clouds
71,Rawson,AR,-43.3002,-65.1023,63.52,62,2,6.24,clear sky
72,Saint-Philippe,RE,-21.3585,55.7679,85.55,72,18,11.1,few clouds
73,Bubaque,GW,11.2833,-15.8333,80.64,64,65,8.16,broken clouds
74,Nisia Floresta,BR,-6.0911,-35.2086,77.38,83,61,8.48,broken clouds
75,Port-Gentil,GA,-0.7193,8.7815,79.3,86,100,11.25,light rain
76,Genhe,CN,50.7833,121.5167,17.96,61,36,8.86,scattered clouds
77,Kieta,PG,-6.2167,155.6333,83.03,78,100,0.54,light rain
78,Hasaki,JP,35.7333,140.8333,55.29,59,100,9.44,light rain
79,Hermanus,ZA,-34.4187,19.2345,59.9,90,100,7.29,light rain
80,Puerto Ayacucho,VE,5.6639,-67.6236,76.05,82,100,2.77,overcast clouds
81,San Juan,AR,-31.5375,-68.5364,75.97,43,60,6.98,broken clouds
82,Trairi,BR,-3.2778,-39.2689,80.58,79,72,13.47,broken clouds
83,Nikolskoye,RU,59.7035,30.7861,-4.61,97,6,4.97,clear sky
84,Teguldet,RU,57.3064,88.1667,31.17,89,100,13.49,overcast clouds
85,Makakilo City,US,21.3469,-158.0858,71.92,92,90,3.44,light rain
86,Maragogi,BR,-9.0122,-35.2225,76.5,85,18,10.63,few clouds
87,Barcelona,ES,41.3888,2.159,46.33,66,20,5.01,few clouds
88,Carthage,TN,36.8611,10.3316,48.06,81,40,13.8,scattered clouds
89,Saint George,US,37.1041,-113.5841,58.35,41,1,1.99,clear sky
90,Cairns,AU,-16.9167,145.7667,97.07,56,11,16.11,few clouds
91,Kaitangata,NZ,-46.2817,169.8464,52.93,55,73,9.44,broken clouds
92,Port Hardy,CA,50.6996,-127.4199,34.75,100,90,16.11,heavy snow
93,Bethel,US,41.3712,-73.414,48.92,69,90,4.61,overcast clouds
94,Bairiki,KI,1.3292,172.9752,84.2,70,40,16.11,scattered clouds
95,Volkhov,RU,59.9258,32.3382,-4.2,95,6,5.39,clear sky
96,Faanui,PF,-16.4833,-151.75,80.76,75,22,13.51,light rain
97,Ballina,AU,-28.8667,153.5667,73.78,90,74,7.9,light rain
98,Cabuyaro,CO,4.2817,-72.794,78.03,70,85,3.0,overcast clouds
99,Kavieng,PG,-2.5744,150.7967,83.46,76,91,10.89,moderate rain
100,Galesong,ID,-5.3166,119.3661,77.02,90,100,5.61,moderate rain
101,Chifeng,CN,42.2683,118.9636,36.23,31,0,15.7,clear sky
102,Ourossogui,SN,15.6064,-13.3211,73.4,17,91,10.78,overcast clouds
103,Elat,IL,29.5581,34.9482,58.84,44,0,0.0,haze
104,Hilo,US,19.7297,-155.09,74.93,89,40,10.36,moderate rain
105,Jiblah,YE,13.9216,44.1467,59.4,40,0,2.08,clear sky
106,Hobart,AU,-42.8794,147.3294,73.26,50,75,7.0,broken clouds
107,Geraldton,AU,-28.7667,114.6,86.41,37,0,25.32,clear sky
108,Mingshui,CN,36.7167,117.5,52.59,44,6,12.21,clear sky
109,Gumdag,TM,39.2061,54.5906,48.79,56,95,4.61,overcast clouds
110,Tshikapa,CD,-6.4167,20.8,69.55,95,100,1.19,overcast clouds
111,Tuatapere,NZ,-46.1333,167.6833,56.82,54,72,10.0,broken clouds
112,Bambanglipuro,ID,-7.95,110.2833,80.42,82,100,7.18,overcast clouds
113,Acapulco,MX,16.8634,-99.8901,76.82,94,1,4.61,clear sky
114,Teguise,ES,29.0605,-13.564,61.02,68,20,17.27,few clouds
115,Bandarbeyla,SO,9.4942,50.8122,78.67,58,7,15.88,clear sky
116,Daru,PG,-9.0763,143.2092,84.74,66,96,9.44,overcast clouds
117,Gazojak,TM,41.1875,61.4036,41.67,75,85,11.41,overcast clouds
118,Atambua,ID,-9.1061,124.8925,82.67,73,98,4.38,overcast clouds
119,Hokitika,NZ,-42.7167,170.9667,56.84,64,97,9.57,overcast clouds
120,Grand Gaube,MU,-20.0064,57.6608,82.8,67,21,11.99,few clouds
121,Kalianget,ID,-7.05,113.9333,78.84,83,100,7.27,moderate rain
122,Rexburg,US,43.826,-111.7897,30.18,69,1,4.61,clear sky
123,Barrow,US,71.2906,-156.7887,19.42,86,75,20.71,broken clouds
124,Storm Lake,US,42.6411,-95.2097,29.89,59,90,33.38,overcast clouds
125,Tigzirt,DZ,36.8886,4.1198,52.2,66,38,24.47,scattered clouds
126,Imbituba,BR,-28.24,-48.6703,70.83,93,94,7.2,overcast clouds
127,Kirovskiy,RU,45.0917,133.5136,35.46,91,71,9.13,broken clouds
128,Horsham,GB,51.064,-0.3272,38.71,92,75,2.3,broken clouds
129,Ostrovnoy,RU,68.0531,39.5131,11.12,74,90,23.58,overcast clouds
130,Axente Sever,RO,46.1,24.2167,37.78,81,100,2.33,overcast clouds
131,Baraboo,US,43.4711,-89.7443,34.99,90,90,1.99,overcast clouds
132,Gigmoto,PH,13.7796,124.39,80.73,67,97,13.49,overcast clouds
133,Leninsk,RU,48.7119,45.1994,33.66,91,100,9.91,light snow
134,Mao,ES,39.8885,4.2658,46.96,76,40,8.05,scattered clouds
135,Airai,TL,-8.9266,125.4092,70.99,75,99,2.39,moderate rain
136,Batemans Bay,AU,-35.7167,150.1833,72.19,66,100,10.02,overcast clouds
137,Lagoa,PT,39.05,-27.9833,62.78,76,72,13.11,broken clouds
138,Klaksvik,FO,62.2266,-6.589,38.32,71,100,31.47,overcast clouds
139,Jumla,NP,29.2747,82.1838,49.39,63,58,6.82,broken clouds
140,Arica,CL,-18.475,-70.3042,65.62,84,73,2.1,broken clouds
141,Margate,GB,51.3813,1.3862,39.31,96,100,7.56,overcast clouds
142,Safaga,EG,26.7292,33.9365,64.71,52,96,10.98,overcast clouds
143,Molde,NO,62.7375,7.1591,33.73,80,20,9.22,few clouds
144,Krasnoselkup,RU,65.7,82.4667,-34.51,100,43,4.88,scattered clouds
145,Georgiyevka,KZ,43.0369,74.7114,37.44,93,75,8.95,fog
146,Saint-Augustin,CA,51.226,-58.6502,19.53,67,6,9.55,clear sky
147,Hofn,IS,64.2539,-15.2082,42.57,95,100,18.23,moderate rain
148,Luan,CH,46.3592,6.9759,27.7,96,96,3.83,light snow
149,Thinadhoo,MV,0.5333,72.9333,82.31,78,76,15.66,broken clouds
150,Clyde River,CA,70.4692,-68.5914,10.63,85,100,23.02,light snow
151,San Cristobal,VE,7.7669,-72.225,71.78,80,100,1.99,overcast clouds
152,Carnarvon,AU,-24.8667,113.6333,82.47,61,0,21.85,clear sky
153,Cayenne,GF,4.9333,-52.3333,76.08,92,90,0.0,overcast clouds
154,Robertsport,LR,6.7533,-11.3686,79.52,82,63,6.33,moderate rain
155,Yulara,AU,-25.2406,130.9889,93.04,24,0,6.91,clear sky
156,Yellowknife,CA,62.456,-114.3525,-21.44,79,1,2.3,clear sky
157,Luganville,VU,-15.5333,167.1667,83.26,75,35,5.48,scattered clouds
158,Lasa,IT,46.6166,10.7002,27.48,93,90,6.49,overcast clouds
159,Ponta Do Sol,PT,32.6667,-17.1,65.03,64,17,9.24,few clouds
160,Thompson,CA,55.7435,-97.8558,-23.64,76,1,8.05,clear sky
161,Maple Creek,CA,49.9168,-109.4848,3.61,77,73,6.91,broken clouds
162,Finnsnes,NO,69.2296,17.9811,17.56,80,4,4.59,clear sky
163,Burnie,AU,-41.0667,145.9167,61.66,78,92,9.22,light rain
164,Dakar,SN,14.6937,-17.4441,72.48,52,86,14.32,overcast clouds
165,Paracatu,BR,-17.2222,-46.8747,66.94,92,7,2.59,clear sky
166,Barabai,ID,-2.5833,115.3833,83.48,73,100,5.39,overcast clouds
167,Kuliyapitiya,LK,7.4688,80.0401,86.97,64,71,2.15,broken clouds
168,Shingu,JP,33.7333,135.9833,63.59,80,100,4.97,overcast clouds
169,Voyinka,UA,45.8699,33.9914,43.52,89,90,7.72,overcast clouds
170,Mahon,ES,39.8885,4.2658,46.96,76,40,8.05,scattered clouds
171,Moerai,PF,-22.4333,-151.3333,78.15,82,100,14.94,light rain
172,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,20.71,scattered clouds
173,Katherine,AU,-14.4667,132.2667,97.12,36,40,3.44,scattered clouds
174,Caohai,CN,26.8661,104.2841,51.44,65,24,7.09,few clouds
175,Eureka,US,40.8021,-124.1637,50.2,93,89,5.12,overcast clouds
176,Yayva,RU,59.3303,57.2641,-13.83,100,95,0.85,overcast clouds
177,Namibe,AO,-15.1961,12.1522,71.01,69,10,3.89,clear sky
178,Lavumisa,SZ,-27.31,31.892,78.69,66,86,6.42,overcast clouds
179,Husavik,IS,66.0449,-17.3389,39.11,83,100,17.27,overcast clouds
180,Dire Dawa,ET,9.5931,41.8661,68.52,46,0,1.99,clear sky
181,Tubuala,PA,9.5167,-79.0333,78.33,86,99,10.27,overcast clouds
182,Bela,IN,25.9333,81.9833,77.94,46,19,5.39,few clouds
183,Alofi,NU,-19.0595,-169.9187,80.49,74,75,14.97,broken clouds
184,Fortuna,US,40.5982,-124.1573,49.93,74,90,0.0,overcast clouds
185,Vaini,TO,-21.2,-175.2,80.76,89,40,10.36,scattered clouds
186,Ust-Ishim,RU,57.6935,71.1665,6.19,91,100,3.13,overcast clouds
187,Kualakapuas,ID,-3.0091,114.3876,80.76,70,100,5.77,overcast clouds
188,Nanae,JP,41.8833,140.6833,46.63,87,75,5.75,light intensity shower rain
189,Kushiro,JP,42.975,144.3747,41.95,65,20,8.05,few clouds
190,Beihai,CN,21.4833,109.1,71.29,31,17,4.12,few clouds
191,Provideniya,RU,64.3833,-173.3,20.17,93,96,6.51,overcast clouds
192,Severo-Kurilsk,RU,50.6789,156.125,34.95,84,92,16.8,light rain
193,Aklavik,CA,68.2191,-135.0107,5.72,91,60,9.53,broken clouds
194,Berlevag,NO,70.8578,29.0864,28.02,93,97,23.0,light snow
195,Stabat,ID,3.761,98.4513,82.6,77,79,4.92,broken clouds
196,Cabo San Lucas,MX,22.8909,-109.9124,75.51,72,100,5.12,overcast clouds
197,Ketchikan,US,55.3422,-131.6461,25.27,93,75,3.44,broken clouds
198,Jalu,LY,29.0331,21.5482,53.67,62,57,6.78,broken clouds
199,Lufilufi,WS,-13.8745,-171.5986,78.58,75,21,11.95,few clouds
200,Cervo,ES,43.6702,-7.4101,51.19,86,100,10.94,overcast clouds
201,Oussouye,SN,12.485,-16.5469,72.81,41,57,4.0,broken clouds
202,Varhaug,NO,58.6147,5.6457,30.88,67,84,22.84,broken clouds
203,Mahebourg,MU,-20.4081,57.7,82.69,65,40,13.8,scattered clouds
204,Korla,CN,41.7597,86.1469,35.51,44,100,0.72,overcast clouds
205,Biak,ID,-0.9131,122.8766,83.48,73,100,1.45,overcast clouds
206,Curitibanos,BR,-27.2828,-50.5844,58.53,98,59,1.9,broken clouds
207,Saldanha,ZA,-33.0117,17.9442,60.85,86,100,15.97,overcast clouds
208,Izberbash,RU,42.5696,47.8645,33.85,60,11,1.81,few clouds
209,Banamba,ML,13.55,-7.45,63.48,20,81,8.99,broken clouds
210,Mar Del Plata,AR,-38.0023,-57.5575,62.87,84,40,8.99,scattered clouds
211,Zemio,CF,5.0314,25.1361,73.09,79,98,0.36,overcast clouds
212,Pevek,RU,69.7008,170.3133,-9.53,96,100,16.62,light snow
213,Rendsburg,DE,54.3,9.6667,37.99,61,97,1.01,overcast clouds
214,Mastic,US,40.802,-72.8409,51.98,78,90,11.5,overcast clouds
215,Kirakira,SB,-10.4544,161.9205,78.98,87,99,12.37,overcast clouds
216,Tessalit,ML,20.1986,1.0114,61.41,19,24,8.34,few clouds
217,Ondo,NG,7.1,4.8333,71.06,98,28,1.95,scattered clouds
218,Vestmanna,FO,62.1564,-7.1664,36.52,87,75,31.07,broken clouds
219,Valparaiso,CL,-33.0393,-71.6273,56.62,92,7,5.61,clear sky
220,Shaunavon,CA,49.6501,-108.4181,-7.82,97,62,5.97,broken clouds
221,Eyl,SO,7.9803,49.8164,78.37,61,12,17.0,few clouds
222,Kenai,US,60.5544,-151.2583,24.15,94,90,6.91,light snow
223,Grantham,GB,52.9115,-0.6418,37.49,98,90,1.01,overcast clouds
224,Taoudenni,ML,22.6783,-3.9836,57.76,26,100,11.14,overcast clouds
225,Tasiilaq,GL,65.6145,-37.6368,30.36,97,100,14.9,snow
226,Kruisfontein,ZA,-34.0033,24.7314,64.89,87,84,16.55,light rain
227,Trincomalee,LK,8.5711,81.2335,82.22,72,2,5.59,clear sky
228,Camacupa,AO,-12.0167,17.4833,62.04,94,100,3.11,overcast clouds
229,Belyy Yar,RU,53.6039,91.3903,22.89,70,53,2.24,mist
230,Maraa,BR,-1.8333,-65.3667,72.54,99,86,1.68,light rain
231,Chapais,CA,49.7834,-74.8492,1.18,93,100,5.28,overcast clouds
232,Esperance,AU,-33.8667,121.9,64.22,66,87,18.77,overcast clouds
