City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2021-11-29 18:49:50,-42.7826,147.0587,50.9,74,64,2.55
1,Wilmington,US,2021-11-29 18:55:18,34.2257,-77.9447,52.99,39,7,4.0
2,Port Elizabeth,ZA,2021-11-29 18:50:47,-33.918,25.5701,63.1,88,0,6.91
3,Luau,AO,2021-11-29 18:56:18,-10.7073,22.2247,65.93,96,45,3.42
4,Atuona,PF,2021-11-29 18:51:46,-9.8,-139.0333,78.21,78,33,23.24
5,Upernavik,GL,2021-11-29 18:51:56,72.7868,-56.1549,21.33,96,100,6.24
6,Bhum,IN,2021-11-29 18:56:20,18.4667,75.6667,70.84,57,100,10.31
7,Acari,PE,2021-11-29 18:56:20,-15.4311,-74.6158,78.37,52,20,11.39
8,Ruidoso,US,2021-11-29 18:56:21,33.3317,-105.673,65.89,20,1,8.05
9,Cabo San Lucas,MX,2021-11-29 18:56:21,22.8909,-109.9124,85.17,65,100,4.0
10,Longyearbyen,SJ,2021-11-29 18:49:44,78.2186,15.6401,10.24,72,20,20.71
11,Dickinson,US,2021-11-29 18:53:25,29.4608,-95.0513,71.22,63,0,1.01
12,Gao,ML,2021-11-29 18:56:22,16.6362,1.637,81.39,11,100,10.71
13,Arraial Do Cabo,BR,2021-11-29 18:50:18,-22.9661,-42.0278,85.96,74,0,18.41
14,Kodiak,US,2021-11-29 18:50:44,57.79,-152.4072,35.11,100,90,25.32
15,Punta Arenas,CL,2021-11-29 18:45:27,-53.15,-70.9167,50.02,61,40,29.93
16,Qaanaaq,GL,2021-11-29 18:49:31,77.484,-69.3632,5.83,61,100,8.08
17,Rikitea,PF,2021-11-29 18:49:36,-23.1203,-134.9692,76.17,76,2,19.13
18,Tuatapere,NZ,2021-11-29 18:49:31,-46.1333,167.6833,56.82,80,100,2.17
19,Barrow,US,2021-11-29 18:48:18,71.2906,-156.7887,-18.38,69,1,8.05
20,Mataura,NZ,2021-11-29 18:49:47,-46.1927,168.8643,56.48,88,100,3.09
21,Magistralnyy,RU,2021-11-29 18:56:25,56.1725,107.4458,6.03,92,98,3.42
22,Jamestown,US,2021-11-29 18:56:25,42.097,-79.2353,36.72,81,97,8.01
23,Chokurdakh,RU,2021-11-29 18:50:45,70.6333,147.9167,-14.21,98,100,3.91
24,Ushuaia,AR,2021-11-29 18:45:31,-54.8,-68.3,44.22,81,75,26.46
25,Belyy Yar,RU,2021-11-29 18:56:26,53.6039,91.3903,12.85,89,100,2.24
26,Petropavlovsk-Kamchatskiy,RU,2021-11-29 18:56:26,53.0452,158.6483,16.39,67,75,11.18
27,Bredasdorp,ZA,2021-11-29 18:50:08,-34.5322,20.0403,62.28,57,16,12.03
28,San Patricio,US,2021-11-29 18:47:21,28.017,-97.5169,70.21,45,10,3.53
29,Nikolskoye,RU,2021-11-29 18:48:23,59.7035,30.7861,25.39,94,100,10.58
30,Busselton,AU,2021-11-29 18:45:28,-33.65,115.3333,52.83,74,8,7.99
31,Kaeo,NZ,2021-11-29 18:51:28,-35.1,173.7833,62.33,89,79,1.16
32,Beringovskiy,RU,2021-11-29 18:50:41,63.05,179.3167,6.12,95,100,8.21
33,Kendari,ID,2021-11-29 18:56:28,-3.945,122.4989,75.22,94,100,1.88
34,Nishihara,JP,2021-11-29 18:51:47,26.1842,127.7558,71.65,78,75,13.8
35,Cuxhaven,DE,2021-11-29 18:56:29,53.8718,8.6909,34.09,93,75,3.44
36,Kaitangata,NZ,2021-11-29 18:50:22,-46.2817,169.8464,58.93,74,100,6.11
37,Fairbanks,US,2021-11-29 18:50:39,64.8378,-147.7164,-13.4,68,90,0.0
38,Hilo,US,2021-11-29 18:48:03,19.7297,-155.09,75.27,78,90,10.36
39,Bluff,NZ,2021-11-29 18:50:03,-46.6,168.3333,56.8,80,100,10.31
40,Torbay,CA,2021-11-29 18:53:03,47.6666,-52.7314,48.67,74,75,12.66
41,Carnarvon,AU,2021-11-29 18:46:36,-24.8667,113.6333,71.67,78,0,20.71
42,Ilmajoki,FI,2021-11-29 18:56:31,62.7333,22.5667,2.79,85,0,3.44
43,Asfi,MA,2021-11-29 18:56:31,32.2994,-9.2372,60.82,72,0,14.45
44,Plyussa,RU,2021-11-29 18:56:32,58.4308,29.3654,24.76,96,100,10.2
45,Honningsvag,NO,2021-11-29 18:56:32,70.9821,25.9704,15.33,87,40,29.93
46,Hasaki,JP,2021-11-29 18:50:38,35.7333,140.8333,37.8,60,19,4.63
47,Varhaug,NO,2021-11-29 18:56:33,58.6147,5.6457,34.9,97,100,23.38
48,Yagodnoye,RU,2021-11-29 18:57:34,62.55,149.6667,-16.11,99,100,2.95
49,Hobart,AU,2021-11-29 18:49:46,-42.8794,147.3294,51.26,90,40,1.01
50,Albany,US,2021-11-29 18:49:35,42.6001,-73.9662,34.18,78,100,3.0
51,Port Hedland,AU,2021-11-29 18:51:45,-20.3167,118.5667,75.25,88,0,6.91
52,Cape Town,ZA,2021-11-29 18:48:01,-33.9258,18.4232,64.89,83,20,9.22
53,Ballina,AU,2021-11-29 18:49:25,-28.8667,153.5667,68.04,96,90,6.91
54,Chuy,UY,2021-11-29 18:50:05,-33.6971,-53.4616,64.15,91,100,19.1
55,Kapaa,US,2021-11-29 18:49:39,22.0752,-159.319,76.48,68,40,4.0
56,Caravelas,BR,2021-11-29 18:50:12,-17.7125,-39.2481,82.89,72,6,12.64
57,Qinhuangdao,CN,2021-11-29 18:57:36,39.9317,119.5883,34.12,86,100,3.27
58,Dawei,MM,2021-11-29 18:52:26,14.0833,98.2,74.1,78,100,6.33
59,Tuktoyaktuk,CA,2021-11-29 18:50:01,69.4541,-133.0374,-14.8,76,75,23.02
60,Geraldton,AU,2021-11-29 18:49:58,-28.7667,114.6,66.61,68,75,14.97
61,Bairiki,KI,2021-11-29 18:57:38,1.3292,172.9752,80.6,78,75,9.22
62,Eha Amufu,NG,2021-11-29 18:57:38,6.6592,7.7596,83.3,54,17,5.35
63,Agadez,NE,2021-11-29 18:57:39,19.75,10.25,74.82,17,89,7.25
64,Mayo,US,2021-11-29 18:57:39,38.8876,-76.5119,46.17,47,99,13.0
65,Eydhafushi,MV,2021-11-29 18:57:39,5.1033,73.0708,78.19,87,100,18.37
66,Port-Cartier,CA,2021-11-29 18:57:40,50.0334,-66.8654,30.42,51,24,2.75
67,Bolotnoye,RU,2021-11-29 18:57:40,55.6717,84.3981,13.26,83,100,10.6
68,Kavieng,PG,2021-11-29 18:50:46,-2.5744,150.7967,82.06,80,100,17.34
69,Berdigestyakh,RU,2021-11-29 18:57:41,62.0989,126.6992,-12.15,100,100,1.61
70,Ketchikan,US,2021-11-29 18:57:42,55.3422,-131.6461,34.97,82,100,5.39
71,Dunedin,NZ,2021-11-29 18:50:34,-45.8742,170.5036,56.66,57,56,5.1
72,Dhidhdhoo,MV,2021-11-29 18:57:42,6.8833,73.1,80.35,79,100,13.27
73,Mar Del Plata,AR,2021-11-29 18:49:11,-38.0023,-57.5575,66.22,91,75,17.0
74,Bethel,US,2021-11-29 18:49:37,41.3712,-73.414,41.05,67,75,1.01
75,Vila Do Maio,CV,2021-11-29 18:57:43,15.1333,-23.2167,77.79,69,100,22.59
76,Yelizovo,RU,2021-11-29 18:57:44,53.1873,158.3805,17.74,67,75,11.01
77,Majene,ID,2021-11-29 18:53:06,-3.5403,118.9707,77.4,85,100,3.31
78,Buarcos,PT,2021-11-29 18:57:44,40.166,-8.8768,53.94,74,100,8.86
79,Zyryanka,RU,2021-11-29 18:57:45,65.75,150.85,-24.12,100,100,2.24
80,Rehoboth,NA,2021-11-29 18:57:45,-23.3167,17.0833,73.04,9,0,12.01
81,Aitape,PG,2021-11-29 18:57:46,-3.1374,142.3475,76.87,92,100,3.91
82,Constitucion,CL,2021-11-29 18:49:42,-35.3333,-72.4167,65.55,61,7,18.61
83,Clonakilty,IE,2021-11-29 18:57:46,51.6231,-8.8706,47.41,85,17,6.44
84,Xingcheng,CN,2021-11-29 18:57:47,40.6167,120.7167,32.31,75,100,7.23
85,Ouegoa,NC,2021-11-29 18:57:47,-20.35,164.4333,78.93,83,12,9.6
86,San Rafael,AR,2021-11-29 18:51:34,-34.6177,-68.3301,85.64,16,0,12.1
87,Oranjemund,NA,2021-11-29 18:57:48,-28.55,16.4333,63.27,89,3,7.23
88,Ribeira Grande,PT,2021-11-29 18:50:15,38.5167,-28.7,64.8,59,20,5.75
89,Ilulissat,GL,2021-11-29 18:51:01,69.2167,-51.1,32.56,99,100,3.62
90,Segovia,ES,2021-11-29 18:57:48,41.1667,-4.0,46.67,69,100,5.59
91,Lebu,CL,2021-11-29 18:48:10,-37.6167,-73.65,59.34,75,100,19.13
92,Saint Anthony,US,2021-11-29 18:52:11,45.0205,-93.218,49.28,50,1,4.61
93,Nichinan,JP,2021-11-29 18:57:49,31.6,131.3667,58.1,71,31,1.34
94,Zhanaozen,KZ,2021-11-29 18:57:50,43.3,52.8,44.46,44,1,11.79
95,Fier,AL,2021-11-29 18:58:50,40.7239,19.5561,51.28,76,72,9.08
96,Logrono,ES,2021-11-29 18:58:51,42.4667,-2.45,49.39,97,75,6.91
97,Eureka,US,2021-11-29 18:52:18,40.8021,-124.1637,58.19,69,94,1.36
98,Dikson,RU,2021-11-29 18:58:51,73.5069,80.5464,-14.42,96,100,17.74
99,Katherine,AU,2021-11-29 18:58:52,-14.4667,132.2667,77.32,50,90,0.0
100,Norman Wells,CA,2021-11-29 18:58:53,65.282,-126.8329,-21.96,63,20,9.22
101,Yar-Sale,RU,2021-11-29 18:58:53,66.8333,70.8333,0.1,98,89,8.37
102,Talnakh,RU,2021-11-29 18:58:54,69.4865,88.3972,-18.99,98,98,7.2
103,Oktyabrskiy,RU,2021-11-29 18:58:54,54.4815,53.471,32.38,83,100,12.19
104,Coihaique,CL,2021-11-29 18:48:09,-45.5752,-72.0662,58.95,47,75,9.22
105,Pringsewu,ID,2021-11-29 18:58:55,-5.3582,104.9744,73.69,95,100,0.81
106,Dauriya,RU,2021-11-29 18:58:55,49.9333,116.8667,-0.67,98,53,5.26
107,Vaini,TO,2021-11-29 18:45:16,-21.2,-175.2,77.16,78,40,11.5
108,Sioux Lookout,CA,2021-11-29 18:58:56,50.1001,-91.917,25.18,86,90,4.61
109,Kedgwick,CA,2021-11-29 18:58:56,47.6446,-67.3434,25.79,72,94,5.77
110,Mount Gambier,AU,2021-11-29 18:51:06,-37.8333,140.7667,51.71,76,4,3.44
111,Hithadhoo,MV,2021-11-29 18:49:43,-0.6,73.0833,81.03,80,16,14.54
112,Airai,TL,2021-11-29 18:50:06,-8.9266,125.4092,61.38,84,100,1.72
113,Mehamn,NO,2021-11-29 18:51:24,71.0357,27.8492,17.51,73,69,24.16
114,Cayenne,GF,2021-11-29 18:50:00,4.9333,-52.3333,84.24,82,75,3.0
115,Thompson,CA,2021-11-29 18:50:30,55.7435,-97.8558,19.56,93,90,5.75
116,Port Hardy,CA,2021-11-29 18:46:40,50.6996,-127.4199,48.2,100,75,10.36
117,Kavaratti,IN,2021-11-29 18:52:16,10.5669,72.642,81.84,78,85,12.97
118,Avarua,CK,2021-11-29 18:50:36,-21.2078,-159.775,77.05,69,75,5.75
119,Jorpeland,NO,2021-11-29 18:59:00,59.0225,6.0408,35.15,86,100,13.27
120,Te Anau,NZ,2021-11-29 18:49:59,-45.4167,167.7167,50.9,70,65,0.63
121,Meulaboh,ID,2021-11-29 18:53:01,4.1363,96.1285,74.34,94,100,2.62
122,Metro,ID,2021-11-29 18:59:01,-5.1131,105.3067,74.75,92,100,1.81
123,Hutchinson,US,2021-11-29 18:55:56,38.0608,-97.9298,71.82,35,0,1.99
124,Moerai,PF,2021-11-29 18:59:02,-22.4333,-151.3333,76.75,82,100,7.36
125,Tongchuan,CN,2021-11-29 18:59:02,35.0806,109.0897,33.15,35,0,6.89
126,Wanlaweyn,SO,2021-11-29 18:59:03,2.6185,44.8938,79.39,74,43,12.66
127,Bilecik,TR,2021-11-29 18:59:03,40.0,30.1667,51.42,73,100,24.79
128,San Carlos De Bariloche,AR,2021-11-29 18:48:14,-41.1456,-71.3082,71.35,23,0,16.11
129,Xining,CN,2021-11-29 18:53:07,36.6167,101.7667,18.32,50,0,1.92
130,Kirensk,RU,2021-11-29 18:59:04,57.7853,108.1119,6.4,90,92,7.63
131,Lahuachaca,BO,2021-11-29 18:59:05,-17.3667,-67.6667,60.49,40,100,7.61
132,Victoria,HK,2021-11-29 18:47:00,22.2855,114.1577,71.33,70,0,3.0
133,Saskylakh,RU,2021-11-29 18:47:11,71.9167,114.0833,-22.29,100,93,4.12
134,Hami,CN,2021-11-29 18:49:56,42.8,93.45,24.46,55,0,0.65
135,Vladyslavivka,UA,2021-11-29 18:59:06,45.1667,35.3667,59.56,72,100,24.11
136,Toktogul,KG,2021-11-29 18:59:07,41.8708,72.9402,34.25,41,5,2.93
137,Kingaroy,AU,2021-11-29 18:59:07,-26.5333,151.8333,66.24,100,90,8.05
138,Pemangkat,ID,2021-11-29 18:59:08,1.1667,108.9667,78.15,82,100,3.49
139,Bilma,NE,2021-11-29 18:59:08,18.6853,12.9164,79.75,15,100,8.37
140,Bandarbeyla,SO,2021-11-29 18:52:00,9.4942,50.8122,78.28,72,21,18.88
141,Vung Tau,VN,2021-11-29 19:00:09,10.346,107.0843,78.66,87,100,20.98
142,Khash,IR,2021-11-29 19:00:10,28.2211,61.2158,53.96,40,41,1.97
143,Solnechnyy,RU,2021-11-29 19:00:10,50.7214,136.6319,8.17,93,100,5.61
144,Catamarca,AR,2021-11-29 19:00:11,-28.4696,-65.7852,91.78,29,5,5.01
145,Misawa,JP,2021-11-29 19:00:12,40.6836,141.3597,50.61,83,91,8.81
146,Port Alfred,ZA,2021-11-29 18:50:37,-33.5906,26.891,67.69,85,97,8.5
147,Kutum,SD,2021-11-29 19:00:13,14.2,24.6667,73.45,27,99,9.42
148,Bereda,ES,2021-11-29 18:58:19,43.2686,-7.5406,47.95,100,98,1.3
149,Surt,LY,2021-11-29 19:00:13,31.2089,16.5887,63.72,25,0,19.82
150,Christchurch,NZ,2021-11-29 18:50:18,-43.5333,172.6333,57.9,92,90,1.99
151,Cherskiy,RU,2021-11-29 18:53:06,68.75,161.3,-15.83,98,100,5.7
152,Tasiilaq,GL,2021-11-29 19:00:15,65.6145,-37.6368,24.96,93,100,11.39
153,Souillac,MU,2021-11-29 19:00:15,-20.5167,57.5167,75.36,69,0,6.69
154,Pingliang,CN,2021-11-29 19:00:16,35.5392,106.6861,30.15,30,0,1.81
155,Herat,AF,2021-11-29 18:59:24,34.5,62.0,51.39,42,6,4.63
156,Ponta Do Sol,PT,2021-11-29 19:00:17,32.6667,-17.1,64.71,74,14,4.88
157,Vardo,NO,2021-11-29 19:00:17,70.3705,31.1107,21.18,86,75,23.02
158,Alice Springs,AU,2021-11-29 18:48:55,-23.7,133.8833,60.35,77,0,0.0
159,Ancud,CL,2021-11-29 18:52:45,-41.8697,-73.8203,66.22,62,42,9.51
160,Yellowknife,CA,2021-11-29 19:00:18,62.456,-114.3525,-11.58,84,8,10.0
161,Evensk,RU,2021-11-29 18:52:21,61.95,159.2333,16.72,93,100,2.75
162,Kibala,TD,2021-11-29 19:00:19,9.1104,18.3463,83.8,23,100,2.71
163,Saint-Philippe,RE,2021-11-29 19:00:20,-21.3585,55.7679,76.55,87,56,8.28
164,Ornes,NO,2021-11-29 19:00:20,66.8689,13.7078,22.84,83,100,7.4
165,Collie,AU,2021-11-29 19:00:21,-33.3667,116.15,45.61,91,0,3.96
166,Atar,MR,2021-11-29 19:00:22,20.5169,-13.0499,69.12,22,5,10.65
167,Shiyan,CN,2021-11-29 19:00:22,32.6475,110.7781,38.91,82,0,5.91
168,Saint-Francois,FR,2021-11-29 19:00:23,46.4154,3.9054,34.68,93,90,3.44
169,Portland,US,2021-11-29 18:59:30,45.5234,-122.6762,59.09,93,90,8.01
170,Dandong,CN,2021-11-29 18:56:03,40.1292,124.3947,36.54,95,100,8.3
171,Lopez Mateos,MX,2021-11-29 19:00:24,15.4667,-93.0087,90.32,39,4,5.77
172,Nanortalik,GL,2021-11-29 18:52:14,60.1432,-45.2371,34.74,98,100,16.08
173,Talcahuano,CL,2021-11-29 19:00:25,-36.7167,-73.1167,60.89,70,5,19.73
174,Nelson Bay,AU,2021-11-29 18:50:38,-32.7167,152.15,67.08,91,100,9.01
175,Mucurapo,TT,2021-11-29 19:00:25,10.6667,-61.5333,87.03,65,67,11.92
176,Leningradskiy,RU,2021-11-29 19:00:26,69.3833,178.4167,-20.09,96,79,9.24
177,Acapulco,MX,2021-11-29 18:49:38,16.8634,-99.8901,84.31,60,1,6.02
178,Saint George,US,2021-11-29 18:49:45,37.1041,-113.5841,68.47,40,1,3.44
179,Praia,CV,2021-11-29 18:57:48,14.9215,-23.5087,77.54,65,20,23.02
180,Opuwo,NA,2021-11-29 19:00:27,-18.0607,13.84,80.1,22,66,7.34
181,Visby,SE,2021-11-29 18:57:21,57.6409,18.296,34.86,64,75,14.97
182,Maarianhamina,AX,2021-11-29 19:00:27,60.0973,19.9348,28.26,80,90,9.22
183,Vila Velha,BR,2021-11-29 18:50:53,-20.3297,-40.2925,84.15,85,20,11.99
184,Tiksi,RU,2021-11-29 19:00:28,71.6872,128.8694,-21.91,100,97,6.24
185,Cabedelo,BR,2021-11-29 18:51:08,-6.9811,-34.8339,82.99,68,75,12.53
186,Naze,JP,2021-11-29 19:00:29,28.3667,129.4833,66.96,69,89,16.22
187,Novyy Urgal,RU,2021-11-29 19:01:29,51.0736,132.5642,-2.09,98,100,0.36
188,Severo-Kurilsk,RU,2021-11-29 19:01:30,50.6789,156.125,34.84,95,99,22.75
